Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max	Dot_lnc.dist	Dot_pct.dist	Dot_Dist.Ratio	SS.lnc.dist	SS.pct.dist	SS.Dist.Ratio	MFE	UP.PCT
LINC01270	NonCoding	0.00202227340686678	318	0.139596136962248	-34.5692055778446	-30.8000600182646	1.12237461736584	1.34042897982291	0.0402936487074557	2.40092902682949	2.74979168007859	3.21019312650769	9.71161902777011	-0.0541488676935041	-0.0614519526519857	0.881157804702475	-0.0502057827789626	-0.0516724309561742	0.971616427753216	-753.6	0.112428634167765
LINC00667	NonCoding	0.0285525118669611	288	0.0723799949736115	-38.5921586854887	-34.5120608607262	1.11822237568564	3.7185504171388	0.0639754930346297	4.29300916637341	4.85395431265146	5.74877951097538	22.8412935714532	-0.00390306786149661	-0.0104876339088056	0.372159048974765	-0.018527340033985	-0.0195663008726435	0.946900497676025	-1238.4	0.11437908496732
BBOX1.AS1	NonCoding	0.0004530225220577	207	0.219512195121951	-55.0902145920541	-49.4040683123951	1.11509469713514	1.49286897352592	0.107773824306941	0.98921369361653	1.08859459752473	1.2510858386099	2.66198611962003	-0.165954136637844	-0.190991810014003	0.868907083637128	-0.137726055929821	-0.142951460483797	0.963446301728633	-301.8	0.112526539278132
FOXD2.AS1	NonCoding	8.0695636719752e-05	195	0.0771666007123071	-58.9096576219463	-52.9744373418566	1.11203932647341	1.25334355909483	0.0345479312281217	3.13478179574685	3.58527324705518	4.18033887245167	12.5783397236915	-0.0521154937995514	-0.0650648963211384	0.800977128163348	-0.0438507409979908	-0.0475678706279045	0.921856295418591	-947.2	0.119160728424386
MEG3	NonCoding	0.0980998873461439	303	0.16899051868377	-36.5115373830928	-32.8358489790283	1.11194132383823	3.80680298451847	0.147231083329174	2.13091349208396	2.35226934033885	2.73968552763881	9.98108334933026	-0.0520900610829803	-0.0639048014809486	0.81511967607801	-0.0599702731303465	-0.0637896859267837	0.940124916106013	-704.1	0.123325892857143
GAS5	NonCoding	0.000306906043004873	222	0.26241134751773	-51.2423465430269	-45.8386963374658	1.11788402893877	0.689517030000008	0.0571695335070098	1.03507730969902	1.13402906516942	1.24237741800134	2.4124015895824	-0.134409540044433	-0.147605666336248	0.910598782422391	-0.147108215309453	-0.147840215078284	0.995048710065502	-286.8	0.124260355029586
PVT1	NonCoding	0.013217951432534	342	0.156736938588451	-31.9315060601019	-28.4062400798933	1.12410181601978	3.38411060372085	0.10719637141527	2.58854525370408	2.92143475839662	3.36990333161989	7.7498321144927	-0.0358449598020772	-0.0475319683549594	0.754123194192046	-0.0383052723693728	-0.0417196080077807	0.918159930031673	-740.8	0.121045392022008
LINC01572	NonCoding	0.000565357653628973	195	0.0477005870841487	-59.0366781026014	-52.9963802410537	1.11397566841496	3.93317298588426	0.0640699379130127	3.77882060929056	4.31196682212171	5.2635140605822	34.3957800617077	-0.0142771321336432	-0.0186712032544572	0.764660527715854	-0.0297251555416978	-0.02998707151875	0.991265703391928	-1085	0.109371176902373
MALAT1	NonCoding	0.0505636930780656	213	0.0242624444697574	-53.592510676233	-48.1070033784739	1.11402720835889	8.26364822391588	0.0647131011262087	9.18627710983305	10.5486470885425	12.4363522061246	45.2505452771249	-0.00353286489859428	-0.00685035500568977	0.515719973002852	-0.0083092335317455	-0.00912161529213243	0.910938826691405	-2510.6	0.110047846889952
H19	NonCoding	0.421813757573118	396	0.316041500399042	-26.9833091665241	-24.1456518849037	1.11752249618883	0.907479637296841	0.0500228574473139	1.44321791431139	1.5843646582102	1.77927828218179	5.36177185348056	-0.114947953188382	-0.140043078846161	0.820804242062215	-0.107720434812176	-0.114230290617387	0.943011124544759	-454.3	0.115015974440895
LINC00900	NonCoding	0.072806180474878	309	0.136968085106383	-35.5357573281233	-31.8567701410786	1.11548525386447	2.64274338357405	0.0801364408101928	2.46736794971968	2.66936303871105	3.06478593463145	9.27789242963062	-0.0380923429394158	-0.0461798729272153	0.82486894235187	-0.0415545036331008	-0.0421306148970088	0.986325590895924	-736	0.113968957871397
SNHG6	NonCoding	1.40616097210611e-07	81	0.131707317073171	-151.746039342562	-136.674137505696	1.11027618035079	0.595418353050469	0.0656058661421779	0.60022320216315	0.647858399670415	0.771767656313215	2.78886841499888	-0.33037232022549	-0.342150314593313	0.965576549646542	-0.220470390468585	-0.218118389920673	1.01078313730799	-153.4	0.102605863192182
LINC00473	NonCoding	0.0115125817967705	321	0.285841495992876	-34.2503597241723	-30.5837153836453	1.11988878050074	0.839581850089839	0.0511577814093651	1.223053320245	1.43145684770825	1.64651093097816	6.32443563132368	-0.142761275189521	-0.156868572468147	0.910069320727127	-0.14089559332275	-0.145085937542085	0.971118191808775	-343.6	0.114973262032086
CBR3.AS1	NonCoding	0.00273587685273857	258	0.172	-44.0292077945745	-39.2312633447092	1.12229900443704	3.77342173	0.16732085430129	1.56650906376494	1.72101046965322	1.99560031947622	5.94823598672606	-0.0639277075413838	-0.0733728153948451	0.871272380613531	-0.0686582234413547	-0.0702083425506325	0.977921155051341	-423.8	0.118745830553702
