Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max	Dot_lnc.dist	Dot_pct.dist	Dot_Dist.Ratio	SS.lnc.dist	SS.pct.dist	SS.Dist.Ratio	MFE	UP.PCT
Gm17762	NonCoding	0.00934078598976584	249	0.0747972364073295	-45.2128868812129	-40.7060103109854	1.11071771799289	1.6060642177377	0.0328346697221924	3.57657537115262	3.93171132789519	4.66887781936582	62.0637229895367	-0.0209358658807736	-0.0286152055846002	0.731634299074918	-0.0275645766567047	-0.0292897483636162	0.941099811254967	-1144.7	0.106670673076923
Gm2824	NonCoding	0.0291340512274645	282	0.0539816232771822	-39.7345545521517	-35.4508408238836	1.12083532093214	8.03213474499127	0.101857633092727	4.726188701295	5.42233536285533	6.44628635066945	34.5750618102745	-0.0135238120457088	-0.0159646583257073	0.847109394375946	-0.0237784843241466	-0.0233548182512692	1.01814041403874	-1365.1	0.106835152211373
Snhg15	NonCoding	6.19592345779685e-05	180	0.304054054054054	-64.5862899069526	-58.0118190209619	1.11332985238086	0.890247193298575	0.107291337822479	0.78158826141584	0.890247193298576	0.987038988606738	1.68418883743802	-0.266672963823384	-0.285117662349701	0.935308467478615	-0.203596977513093	-0.208351173821019	0.977181811742468	-192.1	0.137055837563452
Gm3704	NonCoding	0.115280893381866	345	0.117307038422305	-31.7875048966758	-28.2682431115836	1.12449524263679	1.15100612310802	0.0259936751719361	2.82655926970514	3.14161825903763	3.76841807293995	10.5652679989208	-0.0438662487849284	-0.0448535310259705	0.97798875097547	-0.0507479517912544	-0.0497333820696693	1.02040017548301	-792.6	0.0935374149659864
Gm3716	NonCoding	0.0155783250361362	258	0.0898328690807799	-43.5647453380212	-39.1348854941492	1.11319465453743	2.82753373119466	0.0680865115247451	3.2062989299614	3.53634397140796	4.30692046014545	11.2582301819503	-0.0251347559255233	-0.0318982380146149	0.787966906322766	-0.0345015955577088	-0.0351492606413055	0.981573863239799	-941.8	0.112504353883664
X1110002L01Rik	NonCoding	0.090771412810982	315	0.0954545454545455	-34.8239273629441	-31.1991792312003	1.11618088107007	1.4948513137767	0.0308819935505799	3.46583644674118	4.00464736735752	4.54046707851446	10.2147694748223	-0.0245768252850117	-0.0315664959613166	0.778573121170292	-0.039514350569388	-0.0396786902393046	0.995858238542516	-1018	0.108517732646256
Gm4221	NonCoding	9.99999999473644e-08	102	0.0788863109048724	-117.996128809557	-106.059091797259	1.11255081304219	1.37300863349773	0.072236420029609	1.39374145420946	1.52836079771177	1.83637000556112	8.38875438793574	-0.0807543358045082	-0.0903108024784794	0.894182463097386	-0.104489433685241	-0.106874853617051	0.977680250769213	-388.5	0.110681114551084
Gm4544	NonCoding	4.7589741295484e-06	159	0.123447204968944	-74.0333508951175	-66.5444218131478	1.11254029831378	1.57413824048373	0.0834498541221204	1.35819206618794	1.53216043387905	1.72077829758378	4.63993450058095	-0.114684092678342	-0.115507436229167	0.992871943333659	-0.11088888224434	-0.10780024880647	1.02865144999261	-359.81	0.118104118104118
AI662270	NonCoding	0.104266025790375	279	0.198153409090909	-40.1354125201419	-35.7809184719797	1.12169877784362	1.77575520700134	0.0862977893918284	1.41148918779773	1.65004069731123	1.86064588229875	4.35843949124741	-0.0556573310780305	-0.0629515561361511	0.884129551264075	-0.0850311178809555	-0.0813391498888487	1.0453898030303	-375.4	0.108742004264392
Ppp4r1l.ps	NonCoding	0.0940638665088516	297	0.0665024630541872	-37.637172425862	-33.7787897131044	1.11422501355224	3.36555276313844	0.0515710381205294	4.77548399042485	5.44049833130722	6.11895642870867	17.8915289251462	-0.0126447117418619	-0.0181421312919951	0.696980500159929	-0.019969264529909	-0.0210066325158543	0.950617121275275	-1443.2	0.110190369540873
Ancr.1	Coding	0.966637648260999	492	0.0717096633143857	-22.3069397016745	-20.0409449794166	1.11306825723962	2.21145379000012	0.0210219678686788	5.23504646349423	5.84348743183668	6.8261861074895	43.583664199975	-0.0198928354250564	-0.023541877877387	0.844997817449577	-0.026348499976927	-0.0268116095477407	0.982727274541686	-1362.5	0.102915451895044
